word index,english,hiragana,kanji,date_added,rank,sample,is_active,grade,streak,level,total_attempts,total_successes,total_fails,success_ratio,age,reset
642,to bake;to burn; to grill,やく,焼く,22/03/2021,2,5,1,N4,6,advanced,9.0,9.0,0.0,1.0,29,0
643,to change clothes,きがえる,着替える,22/03/2021,3,4,1,NX,5,advanced,21.0,17.0,4.0,0.8095238095238095,29,0
644,to continue,つづける,続ける,22/03/2021,2,5,1,N4,5,advanced,14.0,12.0,2.0,0.8571428571428571,29,0
645,to make a mistake,まちがえる,間違える,22/03/2021,2,4,1,N4,6,advanced,9.0,9.0,0.0,1.0,29,0
646,to take a nap,ひるねをする,昼寝をする,25/03/2021,2,4,1,N2,5,advanced,11.0,11.0,0.0,1.0,26,0
647,to contact (a person),れんらくをする,連絡をする,25/03/2021,4,5,1,N4,5,advanced,23.0,20.0,3.0,0.8695652173913043,26,0
648,while …,あいだに,間に,27/03/2021,1,4,1,N4,5,advanced,9.0,9.0,0.0,1.0,24,0
649,partner,あいて,相手,27/03/2021,2,5,1,N3,5,advanced,15.0,11.0,4.0,0.7333333333333333,24,0
650,impossible,むり,無理,29/03/2021,3,4,1,N4,5,advanced,11.0,10.0,1.0,0.9090909090909091,22,0
651,understanding,りかい,理解,29/03/2021,5,5,1,N3,4,advanced,13.0,8.0,5.0,0.6153846153846154,22,0
652,relationship,かんけい,関係,29/03/2021,4,4,1,N4,5,advanced,18.0,14.0,4.0,0.7777777777777778,22,0
653,solid meal;substantiality (of a meal); fillingness; solidity,たべごたえがある,食べ応えがある,30/03/2021,4,5,1,NX,5,advanced,19.0,16.0,3.0,0.8421052631578947,21,0
654,reception desk,うけつけ,受付,03/04/2021,1,4,1,N4,4,advanced,25.0,16.0,9.0,0.64,17,0
655,God,かみさま,神様,03/04/2021,3,5,1,N2,4,advanced,28.0,24.0,4.0,0.8571428571428571,17,0
656,monkey,さる,猿,03/04/2021,3,4,1,N3,4,advanced,19.0,15.0,4.0,0.7894736842105263,17,0
657,freedom,じゆう,自由,05/04/2021,1,5,1,N4,4,advanced,25.0,18.0,7.0,0.72,15,0
658,document,しょるい,書類,05/04/2021,4,4,1,N3,4,advanced,10.0,7.0,3.0,0.7,15,0
659,science,かがく,科学,17/04/2021,3,5,1,N4,2,beginner,8.0,8.0,0.0,1.0,3,0
660,living alone,ひとりぐらし,一人暮らし,17/04/2021,4,4,1,NX,0,beginner,8.0,5.0,3.0,0.625,3,0
